dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.375009,20.835000,0.000030,0.005970,0.597015,59.701493,0.000000
0.010000,1.375128,20.835000,0.000149,0.011940,0.597015,-0.000000,0.000000
0.010000,1.375397,20.835000,0.000418,0.026866,1.492537,89.552239,0.000000
0.010000,1.375874,20.835000,0.000896,0.047761,2.089552,59.701493,0.000000
0.010000,1.376621,20.835000,0.001642,0.074627,2.686567,59.701493,0.000000
0.010000,1.377665,20.835000,0.002687,0.104478,2.985075,29.850746,0.000000
0.010000,1.379009,20.835000,0.004030,0.134328,2.985075,0.000000,0.000000
0.010000,1.380650,20.835000,0.005672,0.164179,2.985075,-0.000000,0.000000
0.010000,1.382591,20.835000,0.007612,0.194030,2.985075,0.000000,0.000000
0.010000,1.384829,20.835000,0.009851,0.223881,2.985075,0.000000,0.000000
0.010000,1.387367,20.835000,0.012388,0.253731,2.985075,0.000000,0.000000
0.010000,1.390203,20.835000,0.015224,0.283582,2.985075,0.000000,0.000000
0.010000,1.393337,20.835000,0.018358,0.313433,2.985075,-0.000000,0.000000
0.010000,1.396770,20.835000,0.021791,0.343284,2.985075,0.000000,0.000000
0.010000,1.400501,20.835000,0.025522,0.373134,2.985075,-0.000000,0.000000
0.010000,1.404531,20.835000,0.029552,0.402985,2.985075,0.000000,0.000000
0.010000,1.408859,20.835000,0.033881,0.432836,2.985075,0.000000,0.000000
0.010000,1.413486,20.835000,0.038507,0.462687,2.985075,-0.000000,0.000000
0.010000,1.418412,20.835000,0.043433,0.492537,2.985075,0.000000,0.000000
0.010000,1.423635,20.835000,0.048657,0.522388,2.985075,-0.000000,0.000000
0.010000,1.429158,20.835000,0.054179,0.552239,2.985075,0.000000,0.000000
0.010000,1.434979,20.835000,0.060000,0.582090,2.985075,0.000000,0.000000
0.010000,1.441098,20.835000,0.066119,0.611940,2.985075,-0.000000,0.000000
0.010000,1.447516,20.835000,0.072537,0.641791,2.985075,-0.000000,0.000000
0.010000,1.454232,20.835000,0.079254,0.671642,2.985075,0.000000,0.000000
0.010000,1.461247,20.835000,0.086269,0.701493,2.985075,0.000000,0.000000
0.010000,1.468561,20.835000,0.093582,0.731343,2.985075,0.000000,0.000000
0.010000,1.476173,20.835000,0.101194,0.761194,2.985075,-0.000000,0.000000
0.010000,1.484083,20.835000,0.109104,0.791045,2.985075,0.000000,0.000000
0.010000,1.492292,20.835000,0.117313,0.820896,2.985075,0.000000,0.000000
0.010000,1.500800,20.835000,0.125821,0.850746,2.985075,0.000000,0.000000
0.010000,1.509606,20.835000,0.134627,0.880597,2.985075,0.000000,0.000000
0.010000,1.518710,20.835000,0.143731,0.910448,2.985075,0.000000,0.000000
